departamento,habilitados,municipio,votantes,votos_no_marcados,votos_nulos,votacion
La Guajira,116003,Riohacha,58505,1992,5440,camara
Boyaca,5154,Motavita,2954,51,207,camara
Tolima,16505,Cajamarca,6200,288,571,camara
Caldas,13009,Viterbo,6243,196,496,camara
Cundinamarca,9317,Nemocon,5157,151,867,camara
Santander,1678,California,881,27,74,camara
Cundinamarca,4112,Pandi,1898,66,105,camara
Casanare,27471,Aguazul,16799,471,1921,camara
Caldas,9398,Filadelfia,5081,184,440,camara
Antioquia,4385,Concepcion,1798,78,150,camara
Valle,37866,Sevilla,16411,618,1487,camara
Huila,3292,Elias,1581,77,90,camara
Antioquia,2801,Olaya,1324,78,57,camara
Cundinamarca,59358,Madrid,34009,1050,5999,camara
Nariño,7269,Los Andes (sotomayor),4325,129,266,camara
Cordoba,13082,Chima,7666,199,298,camara
Nariño,8491,Roberto Payan (san Jose),3079,75,313,camara
Bolivar,6778,San Cristobal,4392,88,230,camara
Santander,2251,Macaravita,1010,31,65,camara
Valle,222266,Buenaventura,93439,3121,10437,camara
Atlantico,7822,Usiacuri,5712,97,248,camara
Huila,4716,Nataga,2395,132,161,camara
Cundinamarca,3702,Sutatausa,1875,74,271,camara
Sucre,42336,San Onofre,23575,1804,1667,camara
Casanare,1641,Chameza,1152,16,37,camara
Choco,10461,Bajo Baudo (pizarro),6109,36,296,camara
Cundinamarca,6413,Une,3540,54,264,camara
Cundinamarca,4495,Guayabetal,2509,112,225,camara
Boyaca,12657,Aquitania (puebloviejo),5879,194,576,camara
Boyaca,5774,Umbita,2920,77,210,camara
Norte De San,7837,Chitaga,4557,126,409,camara
Valle,11686,La Victoria,5496,186,411,camara
Amazonas,269,Puerto Alegria,87,1,7,camara
Boyaca,4744,Arcabuco,2390,78,178,camara
Cordoba,24347,Pueblo Nuevo,15551,489,720,camara
Cordoba,56573,Montelibano,30793,1317,2144,camara
Tolima,6886,Ambalema,3129,103,288,camara
Antioquia,251747,Itagui,114087,3009,11776,camara
Nariño,5835,Aldana,3392,84,252,camara
Valle,15169,Restrepo,6319,167,498,camara
Antioquia,62364,Caldas,31382,966,4066,camara
Tolima,5197,Villarrica,1984,85,112,camara
Vaupes,1466,Taraira,682,14,16,camara
Bolivar,9049,Zambrano,5891,309,430,camara
Santander,30596,Lebrija,16242,455,1331,camara
Antioquia,26556,Taraza,5772,327,447,camara
Meta,59776,Acacias,36496,1095,5267,camara
Norte De San,44915,Pamplona,23976,554,2547,camara
Antioquia,49601,Girardota,21824,495,2611,camara
Bolivar,749366,Cartagena,336321,12984,36971,camara
Valle,15949,Trujillo,6836,279,488,camara
Cesar,14586,Pailitas,7352,168,467,camara
